trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-110.7617985095254,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,1,-114.31783200120826,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-150.8779858939389,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-171.12941909792661,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-83.73650285280331,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-116.20833863888306,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,15,-33.344147100080576,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-204.26037019472614,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-67.16900062425825,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,11,-45.280259477191635,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-76.07361831868133,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-8.588190657758341,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-30.42230330835773,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-74.09500748376982,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-34.48961798517567,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,3,-57.52562748316844,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,12,-27.831084709318834,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",35,0,2.0228982554072457,"{0: 31, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-108.75868781294425,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-94.35120069609816,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",25,8,-68.31832331142746,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,8,17.503629067998645,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,0,-38.86844636934728,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-45.800668400425764,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-21.234170707966314,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-51.62749136788308,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-104.65026653863512,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,6,-45.673835499562735,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,10,13.837368686726427,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-65.50310773072181,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
