trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-74.84302357997272,"{0: 13, 1: 8, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",35,0,-235.46594199416776,"{0: 18, 1: 2, 2: 10, 3: 3, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",20,0,-95.2886796000223,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",20,0,-146.23278004810481,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-119.6884607039787,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-104.121087746749,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-3.8383951806985754,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",25,0,-223.69253807938213,"{0: 13, 1: 4, 2: 2, 3: 2, 4: 4}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",30,0,-58.375096934356066,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",25,0,-173.20896185338228,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-116.35930253181503,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-117.49161015790612,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,0,-133.49643010030178,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",30,0,-158.14565671638678,"{0: 15, 1: 4, 2: 8, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",30,7,-97.18512354443428,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 1}",1
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,0,-80.15628220002274,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",30,0,-163.1674389294972,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",20,0,-102.30445285446963,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",20,0,-55.60253322264617,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-74.47578261428666,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
