trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-92.18133720140253,"{0: 25, 1: 1, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-40.38186346121343,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.16061191578584,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.21346761967249,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.85426300590325,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.641193837047204,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.61872238610093,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,9,-115.3145076732004,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.87930260292849,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.170988271488,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.934650429904806,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.597900241408965,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.944527699224,"{0: 11, 1: 6, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.98361112531535,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.27730837614425,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.60363626263896,"{0: 13, 1: 4, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.13395798682201,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.41150647944609,"{0: 14, 1: 6, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.24623657656574,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.67520735577213,"{0: 21, 1: 3, 2: 8, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.03251047215647,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.29911550999907,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,10,-11.584371094903263,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-166.9420174387398,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-13.79749604678066,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-231.29380795317746,"{0: 9, 1: 8, 2: 4, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.94720509878588,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.81921722759319,"{0: 15, 1: 8, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-240.6445480764495,"{0: 19, 1: 4, 2: 8, 3: 0, 4: 4}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,12,1.4011713514045414,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
